CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, mujets, up_uncorrelated, 0, -2.4, 2.4, 300, 670, 0, 1, "(0.956768*((1.+(0.107522*x))/(1.+(0.110892*x))))+0.012582965195178986" 
1, mujets, central, 1, -2.4, 2.4, 30, 670, 0, 1, "0.628408*((1.+(0.576276*x))/(1.+(0.396304*x)))" 
1, mujets, central, 0, -2.4, 2.4, 30, 670, 0, 1, "0.628408*((1.+(0.576276*x))/(1.+(0.396304*x)))" 
1, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))-0.029557975009083748" 
1, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))-0.03100409172475338" 
1, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))-0.030108468607068062" 
1, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))-0.048079650849103928" 
1, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))-0.059211321175098419" 
1, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))-0.066058672964572906" 
1, mujets, down, 1, -2.4, 2.4, 300, 670, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))-0.074019312858581543" 
1, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))-0.014778987504541874" 
1, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))-0.01550204586237669" 
1, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))-0.015054234303534031" 
1, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))-0.024039825424551964" 
1, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))-0.02960566058754921" 
1, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))-0.033029336482286453" 
1, mujets, down, 0, -2.4, 2.4, 300, 670, 0, 1, "(0.628408*((1.+(0.576276*x))/(1.+(0.396304*x))))-0.037009656429290771" 
